season,id,name,short_name,description,home_team,away_team,toss_won,decision,first_inning_score,second_inning_score,winner,result,start_date,end_date,venue_name,home_captain,away_captain,pom,home_runs,home_wickets,away_runs,away_wickets
2023,1359544,Royal Challengers Bangalore v Gujarat Titans,RCB v GT,"70th Match (N), Indian Premier League at Bengaluru, May 21 2023",RCB,GT,GT,BOWL FIRST,197,198,GT,Titans won by 6 wkts (5b rem),21-05-2023,22-05-2023,"M.Chinnaswamy Stadium, Bengaluru",Faf du Plessis,Hardik Pandya,Shubman Gill,197,5,198,4
2023,1359543,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,"69th Match (D/N), Indian Premier League at Mumbai, May 21 2023",MI,SRH,MI,BOWL FIRST,200,201,MI,Mumbai won by 8 wkts (12b rem),21-05-2023,22-05-2023,"Wankhede Stadium, Mumbai",Rohit Sharma,Aiden Markram,Cameron Green,201,2,200,5
2023,1359542,Kolkata Knight Riders v Lucknow Super Giants,KKR v LSG,"68th Match (N), Indian Premier League at Kolkata, May 20 2023",KKR,LSG,KKR,BOWL FIRST,176,175,LSG,Super Giants won by 1 run,20-05-2023,21-05-2023,"Eden Gardens, Kolkata",Nitish Rana,Krunal Pandya,Nicholas Pooran,175,7,176,8
2023,1359541,Delhi Capitals v Chennai Super Kings,DC v CSK,"67th Match (D/N), Indian Premier League at Delhi, May 20 2023",DC,CSK,CSK,BAT FIRST,223,146,CSK,Super Kings won by 77 runs,20-05-2023,21-05-2023,"Arun Jaitley Stadium, Delhi",David Warner,MS Dhoni,Ruturaj Gaikwad,146,9,223,3
2023,1359540,Punjab Kings v Rajasthan Royals,PBKS v RR,"66th Match (N), Indian Premier League at Dharamsala, May 19 2023",PBKS,RR,RR,BOWL FIRST,187,189,RR,Royals won by 4 wkts (2b rem),19-05-2023,20-05-2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Shikhar Dhawan,Sanju Samson,Devdutt Padikkal,187,5,189,6
2023,1359539,Sunrisers Hyderabad v Royal Challengers Bangalore,SRH v RCB,"65th Match (N), Indian Premier League at Hyderabad, May 18 2023",SRH,RCB,RCB,BOWL FIRST,186,187,RCB,RCB won by 8 wkts (4b rem),18-05-2023,19-05-2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Aiden Markram,Faf du Plessis,Virat Kohli,186,5,187,2
2023,1359538,Punjab Kings v Delhi Capitals,PBKS v DC,"64th Match (N), Indian Premier League at Dharamsala, May 17 2023",PBKS,DC,PBKS,BOWL FIRST,213,198,DC,Capitals won by 15 runs,17-05-2023,18-05-2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Shikhar Dhawan,David Warner,Rilee Rossouw,198,8,213,2
2023,1359537,Lucknow Super Giants v Mumbai Indians,LSG v MI,"63rd Match (N), Indian Premier League at Lucknow, May 16 2023",LSG,MI,MI,BOWL FIRST,177,172,LSG,Super Giants won by 5 runs,16-05-2023,17-05-2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Krunal Pandya,Rohit Sharma,Marcus Stoinis,177,3,172,5
2023,1359536,Gujarat Titans v Sunrisers Hyderabad,GT v SRH,"62nd Match (N), Indian Premier League at Ahmedabad, May 15 2023",GT,SRH,SRH,BOWL FIRST,188,154,GT,Titans won by 34 runs,15-05-2023,16-05-2023,"Narendra Modi Stadium, Motera, Ahmedabad",Hardik Pandya,Aiden Markram,Shubman Gill,188,9,154,9
2023,1359535,Chennai Super Kings v Kolkata Knight Riders,CSK v KKR,"61st Match (N), Indian Premier League at Chennai, May 14 2023",CSK,KKR,CSK,BAT FIRST,144,147,KKR,KKR won by 6 wkts (9b rem),14-05-2023,15-05-2023,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,Nitish Rana,Rinku Singh,144,6,147,4
